idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo925,geo850,nieve,geo700
9060X,-3.231729,2026-04-13T03:00:00+0000,0.0,910.0,4.1,1.2,313.0,42.875217,310.0,LALASTRA,94.0,1.1,1.4,1.5,,,,,,,,,,,,,,,,,,,,,,,,
9069C,-2.960608,2026-04-13T03:00:00+0000,0.0,460.0,2.5,1.0,344.0,42.687159,302.0,MIRANDA DE EBRO,83.0,5.8,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
9073X,-2.359745,2026-04-13T03:00:00+0000,0.2,660.0,5.0,2.5,297.0,42.829832,292.0,AGURAIN/SALVATIERRA  OPAKUA,97.0,3.9,3.9,3.9,,,,,,,,,,,,,,,,,,,,,,,,
9091R,-2.732913,2026-04-13T03:00:00+0000,0.0,513.0,6.7,2.9,290.0,42.871934,300.0,VITORIA-GASTEIZ AEROPUERTO,88.0,5.3,5.6,5.7,955.9,0.3,6.3,1017.0,3.8,,7.0,0.0,,,,,,,,,,,,,,,,
9111,-3.170282,2026-04-13T03:00:00+0000,0.0,820.0,4.2,1.6,263.0,42.421116,273.0,BELORADO,78.0,3.6,3.6,3.8,,,,,0.2,,,,,,,54.0,,,,,,,,,,,,
9115X,-2.968056,2026-04-13T03:00:00+0000,0.0,1630.0,5.5,3.0,326.0,42.255,317.0,VALDEZCARAY,100.0,-2.6,-2.6,-2.5,,,,,,,,,,,,,,,,,,,,,,,,
9121X,-2.854717,2026-04-13T03:00:00+0000,0.0,465.0,,,,42.575277,,HARO ,78.0,6.1,6.1,6.4,,,,,,,,,,,,,,,,,,,,,,,,
9122I,-2.776667,2026-04-13T03:00:00+0000,0.0,612.0,6.4,1.2,322.0,42.603889,292.0,LABASTIDA,79.0,5.1,5.1,5.1,,,,,,,,,,,,,,,,,,,,,,,,
9136X,-2.871106,2026-04-13T03:00:00+0000,0.0,1006.0,,,,42.230834,,ANGUIANO  VALVANERA ,82.0,2.4,2.4,2.7,,,,,,,,,,,,,,,,,,,,,,,,
9141V,-2.726758,2026-04-13T03:00:00+0000,0.0,500.0,6.9,1.3,256.0,42.414027,260.0,NÁJERA,76.0,6.2,6.3,6.4,,,,,,,,,,,,,,,,,,,,,,,,
9145X,-2.632837,2026-04-13T03:00:00+0000,0.0,575.0,,,,42.567243,,LEZA,79.0,5.6,5.6,5.7,,,,,,,,,,,,,,,,,,,,,,,,
9145Y,-2.63944,2026-04-13T03:00:00+0000,0.0,429.0,7.1,3.9,262.0,42.48278,262.0,CENICERO ,73.0,6.8,6.8,7.0,,,,,,,,,,,,,,,,,,,,,,,,
9170,-2.331024,2026-04-13T03:00:00+0000,0.0,353.0,7.2,3.7,260.0,42.452342,250.0,LOGROÑO  AEROPUERTO,74.0,7.2,7.3,7.3,972.6,0.5,8.3,1016.3,3.0,,4.0,0.0,,,,,,,,,,,,,,,,
9171K,-2.183774,2026-04-13T03:00:00+0000,0.0,470.0,7.9,4.0,305.0,42.570417,302.0,LOS ARCOS,79.0,5.5,5.6,5.9,,,,,,,,,,,,,,,,,,,,,,,,
9178X,-2.346127,2026-04-13T03:00:00+0000,0.2,570.0,,,,42.670656,,CAMPEZO/KANPEZU,90.0,4.5,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,
9188,-2.273211,2026-04-13T03:00:00+0000,0.0,855.0,11.5,4.5,320.0,42.149501,325.0,ENCISO  DEPÓSITO,82.0,3.0,3.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,
9195C,-0.505278,2026-04-13T03:00:00+0000,0.0,2275.6,11.6,4.0,32.0,42.793056,346.0,ASTÚN - LA RACA,85.0,-7.6,-7.6,-7.1,764.3,1.7,,,-9.9,,48.0,,,,,,,,,,,,,,,,119.2,
9198X,-0.51604,2026-04-13T03:00:00+0000,0.0,1197.0,7.7,3.2,21.0,42.749527,27.0,CANFRANC,67.0,1.0,1.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,
9201X,-0.545044,2026-04-13T03:00:00+0000,0.0,832.19,5.0,2.2,228.0,42.579753,246.0,JACA,78.0,1.4,1.7,1.8,913.7,0.8,,1012.0,-1.7,,23.0,,,,,,,,,,,,,,,,,
9207,-0.750538,2026-04-13T03:00:00+0000,0.0,860.0,16.1,6.5,357.0,42.740661,35.0,VALLE DE HECHO  HECHO-DEPÓSITO,40.0,5.4,5.4,5.7,,,,,,,,,,,,,,,,,,,,,,,,
9208E,-0.672778,2026-04-13T03:00:00+0000,0.0,1025.0,12.3,6.5,26.0,42.708611,38.0,ARAGÜÉS DEL PUERTO  DEPÓSITO,28.0,4.5,5.1,5.2,891.7,1.8,4.6,,-11.7,20.0,17.0,0.0,12.2,,,,,,0.0,,,,,,,1414.2,,
9211F,-0.817243,2026-04-13T03:00:00+0000,0.0,722.0,13.4,10.3,325.0,42.514168,315.0,BAILO PUYALTO,58.0,4.3,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,
9218A,-0.924622,2026-04-13T03:00:00+0000,0.0,838.0,9.8,3.6,25.0,42.8625,52.0,ISABA/IZABA,80.0,2.2,2.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,
9228J,-1.300216,2026-04-13T03:00:00+0000,0.2,635.0,7.8,2.6,358.0,42.89624,20.0,OROZ-BETELU/OROTZ-BETELU  DEPÓSITO,84.0,4.0,4.0,4.9,,,,,,,,,,,,,,,,,,,,,,,,
9228T,-1.325557,2026-04-13T03:00:00+0000,1.2,947.0,5.0,1.0,217.0,43.007878,7.0,RONCESVALLES/ORREAGA,100.0,0.5,0.8,1.2,,,,,,,,,,,,,,,,,,,,,,,,
9238X,-1.117222,2026-04-13T03:00:00+0000,0.0,612.0,,,,42.7175,,NAVASCUÉS/NABASKOZE,88.0,0.9,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
9244X,-1.213333,2026-04-13T03:00:00+0000,0.0,626.0,10.7,5.5,324.0,42.490833,328.0,SOS DEL REY CATÓLICO,75.0,4.5,4.6,4.7,939.3,1.4,,1013.7,0.6,,14.0,,,,,,,,,,,,,,,,,
9245X,-1.366381,2026-04-13T03:00:00+0000,0.0,440.0,10.5,4.2,324.0,42.521388,332.0,CÁSEDA  DEPÓSITO,80.0,5.6,5.6,6.4,,,,,,,,,,,,,,,,,,,,,,,,
9252X,-1.655553,2026-04-13T03:00:00+0000,0.0,390.0,8.7,3.3,317.0,42.489168,317.0,OLITE/ERRIBERRI,82.0,6.3,6.3,6.8,,,,,,,,,,,,,,,,,,,,,,,,
9257X,-1.516946,2026-04-13T03:00:00+0000,0.4,615.0,,,,42.970555,,ESTERIBAR  EMBALSE DE EUGI,98.0,3.8,3.9,4.1,,,,,,,,,,,,,,,,,,,,,,,,
9262P,-1.49567,2026-04-13T03:00:00+0000,0.0,585.0,12.8,8.1,308.0,42.70125,312.0,MONREAL/ELO  DEPÓSITO,89.0,3.9,3.9,4.2,,,,,,,,,,,,,,,,,,,,,,,,
9263D,-1.649869,2026-04-13T03:00:00+0000,0.0,459.0,7.2,4.0,330.0,42.776952,350.0,PAMPLONA  AEROPUERTO,88.0,4.7,5.0,5.0,961.0,0.6,5.1,1015.5,3.2,30.0,6.0,0.0,,,,,,,,,,,,,,,,
9263X,-1.532487,2026-04-13T03:00:00+0000,0.2,572.0,6.4,2.0,297.0,42.776102,320.0,ARANGUREN  ILUNDAIN,88.0,4.1,4.1,4.6,,0.8,,,2.3,,16.0,,,,,,,,,,,,,,,,,
9274X,-1.835118,2026-04-13T03:00:00+0000,1.0,432.0,5.1,1.6,304.0,42.918846,247.0,IRURTZUN,90.0,5.3,5.3,5.6,,,,,,,,,,,,,,,,,,,,,,,,
9287A,-2.230789,2026-04-13T03:00:00+0000,0.0,1096.0,10.6,4.1,325.0,42.026458,332.0,SAN PEDRO MANRIQUE,73.0,2.1,2.1,2.3,,,,,,,,,,,,,,,,,,,,,,,,
9293X,-1.743811,2026-04-13T03:00:00+0000,0.0,371.3,12.4,7.6,330.0,42.176133,330.0,ALFARO  LA PLANA - DEPÓSITO,81.0,6.3,6.4,6.5,,,,,,,,,,,,,,,,,,,,,,,,
9294E,-1.475169,2026-04-13T03:00:00+0000,0.0,295.0,9.7,7.1,306.0,42.198543,307.0,BARDENAS REALES  BASE AÉREA,79.0,6.6,6.7,6.9,977.9,0.9,6.2,1013.5,3.2,20.0,5.0,0.0,11.8,,,,,,0.0,,,,,,,,,
9299X,-1.723337,2026-04-13T03:00:00+0000,0.0,475.0,9.3,4.8,304.0,41.914866,332.0,TARAZONA,73.0,6.2,6.2,6.5,,,,,,,,,,,,,,,,,,,,,,,,
9301X,-1.690554,2026-04-13T03:00:00+0000,0.0,410.0,,,,41.95889,,MONTEAGUDO,70.0,6.9,6.9,7.0,,,,,,,,,,,,,,,,,,,,,,,,
9311X,-1.5416,2026-04-13T03:00:00+0000,0.0,520.0,15.2,9.0,297.0,41.842,288.0,BORJA  LOS LLANOS,72.0,5.9,5.9,6.0,951.6,1.7,,,1.3,,12.0,,,,,,,,,,,,,,,,,
9321Y,-1.132315,2026-04-13T03:00:00+0000,0.0,344.5,14.2,9.2,304.0,42.134424,297.0,EJEA DE LOS CABALLEROS  ERAS ALTAS,80.0,6.3,6.3,6.4,,,,,,,,,,,,,,,,,,,,,,,,
9336D,-0.995737,2026-04-13T03:00:00+0000,0.0,543.0,14.6,7.5,292.0,41.984173,300.0,CASTEJÓN DE VALDEJASA  DEPÓSITO,84.0,4.6,4.8,4.8,,,,,,,,,,,,,,,,,,,,,,,,
9344C,-2.292964,2026-04-13T03:00:00+0000,0.0,863.0,3.3,1.8,226.0,41.216473,222.0,ARCOS DE JALÓN-COEX,85.0,0.9,1.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,
9352A,-2.140382,2026-04-13T03:00:00+0000,0.0,1000.0,11.2,8.2,348.0,41.574635,345.0,ALMAZUL,78.0,2.1,2.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,
9354X,-1.895265,2026-04-13T03:00:00+0000,0.0,703.0,,,,41.292998,,ALHAMA DE ARAGÓN  DEPÓSITO,83.0,3.2,3.2,3.5,,,,,,,,,,,,,,,,,,,,,,,,
9374X,-1.320827,2026-04-13T03:00:00+0000,0.0,1000.0,12.5,7.7,355.0,40.566671,350.0,SANTA EULALIA  DEL CAMPO,80.0,3.0,3.0,3.1,,,,,,,,,,,,,,,,,,,,,,,,
9377Y,-1.568336,2026-04-13T03:00:00+0000,0.0,1185.0,9.3,4.3,297.0,40.778609,290.0,EL PEDREGAL,88.0,0.8,0.8,1.4,,,,,,,,,,,,,,,,,,,,,,,,
9381I,-1.293327,2026-04-13T03:00:00+0000,0.0,883.96,6.1,1.8,326.0,40.926112,325.0,CALAMOCHA,83.0,2.8,2.8,3.3,910.2,0.5,2.6,,0.2,20.0,22.0,0.0,8.3,,,,,,0.0,,,,,12.3,754.6,,,
9390,-1.41,2026-04-13T03:00:00+0000,0.0,774.33,4.2,0.7,102.0,41.114444,262.0,DAROCA ,77.0,4.1,4.1,4.3,,,,,,,,,,,,,,,,,,,,,,,,
9394X,-1.645297,2026-04-13T03:00:00+0000,0.0,582.0,5.8,2.9,241.0,41.331041,229.0,CALATAYUD  DEPÓSITO,73.0,5.0,5.0,5.9,944.3,1.0,6.9,1013.6,0.6,20.0,14.0,0.0,12.5,,,,,,0.0,,,,,,,,,
9427X,-1.380829,2026-04-13T03:00:00+0000,0.0,370.0,6.4,1.6,331.0,41.481115,340.0,LA ALMUNIA DE DOÑA GODINA,68.0,7.4,7.4,7.9,,,,,,,,,,,,,,,,,,,,,,,,
9434,-1.004167,2026-04-13T03:00:00+0000,0.0,249.0,14.8,9.9,308.0,41.660556,298.0,ZARAGOZA  AEROPUERTO,72.0,7.7,7.9,7.9,981.8,1.4,7.4,1012.3,3.2,,8.0,0.0,10.0,,,,,,0.0,,,,,13.9,,,,
9434P,-0.934722,2026-04-13T03:00:00+0000,0.0,258.0,14.7,7.2,314.0,41.621111,314.0,ZARAGOZA  VALDESPARTERA,74.0,7.5,7.7,7.9,980.6,1.8,7.2,1011.7,3.4,20.0,10.0,0.0,10.8,,,,,,0.0,,,,,,,,,
9436X,-1.087365,2026-04-13T03:00:00+0000,0.0,1255.0,12.3,8.3,306.0,40.995371,312.0,FONFRÍA,92.0,0.5,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,
9445L,-0.392704,2026-04-13T03:00:00+0000,0.0,1800.0,8.4,3.1,307.0,42.762405,282.0,FORMIGAL  SARRIOS,66.0,-2.9,-2.6,-2.4,811.3,1.2,,,,,24.0,,,,,,,,,,,,,,,,95.6,
9451F,-0.275278,2026-04-13T03:00:00+0000,0.0,1850.0,13.8,5.4,357.0,42.704444,27.0,PANTICOSA  PETROSOS,61.0,-2.5,-2.2,-1.6,805.6,1.6,,,-8.6,,22.0,,,,,,,,,,,,,,,,0.4,
9453X,-0.319003,2026-04-13T03:00:00+0000,0.0,1100.0,1.2,0.3,275.0,42.699238,305.0,BIESCAS  EMBALSE DE BÚBAL,90.0,0.7,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,
9460X,-0.35556,2026-04-13T03:00:00+0000,0.0,775.0,2.8,0.9,161.0,42.512778,195.0,SABIÑÁNIGO,96.0,1.4,1.4,1.5,,,,,,,,,,,,,,,,,,,,,,,,
9491X,-0.585964,2026-04-13T03:00:00+0000,0.0,390.0,11.4,7.2,295.0,42.029356,307.0,ALMUDÉVAR,73.0,5.1,5.4,5.4,,,,,,,,,,,,,,,,,,,,,,,,
9495Y,-0.617331,2026-04-13T03:00:00+0000,0.0,405.0,9.0,5.0,300.0,41.796793,270.0,LECIÑENA,74.0,5.9,6.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,
9501X,-0.885947,2026-04-13T03:00:00+0000,0.0,535.0,21.1,13.2,305.0,41.443134,299.0,VALMADRID,79.0,5.4,5.4,5.6,,1.6,,,,,9.0,,,,,,,,,,,,,,,,,
9510X,-0.503955,2026-04-13T03:00:00+0000,0.0,205.0,15.6,9.7,311.0,41.429172,300.0,QUINTO,72.0,8.1,8.2,8.2,,,,,,,,,,,,,,,,,,,,,,,,
9513X,-0.805655,2026-04-13T03:00:00+0000,0.0,800.0,13.5,6.7,308.0,41.031217,297.0,MUNIESA,81.0,4.2,4.2,4.4,,,,,,,,,,,,,,,,,,,,,,,,
9531Y,-0.792778,2026-04-13T03:00:00+0000,0.0,895.0,5.7,2.0,308.0,40.828611,315.0,MONTALBÁN,79.0,3.3,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
9546B,-0.441907,2026-04-13T03:00:00+0000,0.0,305.0,8.4,3.2,291.0,41.171966,270.0,HÍJAR  DEPÓSITO,72.0,7.4,7.5,7.5,,,,,,,,,,,,,,,,,,,,,,,,
9550C,-0.407693,2026-04-13T03:00:00+0000,0.0,762.0,19.5,10.5,291.0,40.974356,272.0,ANDORRA  HORCALLANA,81.0,4.2,4.2,4.3,,,,,,,,,,,,,,,,,,,,,,,,
9561X,-0.315396,2026-04-13T03:00:00+0000,0.0,755.0,16.6,7.6,294.0,40.798426,302.0,CASTELLOTE  DEPÓSITO,71.0,4.8,4.9,4.9,,,,,,,,,,,,,,,,,,,,,,,,
9562X,-0.101819,2026-04-13T03:00:00+0000,0.0,990.0,15.3,8.6,288.0,40.621663,285.0,MORELLA - PASEO ALAMEDA,79.0,2.5,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
9563X,-0.186663,2026-04-13T03:00:00+0000,0.0,1225.0,13.8,8.6,268.0,40.498608,260.0,CASTELLFORT,80.0,0.7,0.9,0.9,870.4,1.3,,,-2.2,,10.0,,,,,,,,,,,,,,,1415.3,,
9569A,-0.237653,2026-04-13T03:00:00+0000,0.0,466.0,10.2,4.5,291.0,40.946555,293.0,CALANDA,72.0,6.4,6.6,6.7,956.9,1.3,8.0,1012.5,1.9,20.0,12.0,0.0,11.5,,,,,,0.0,,,,,,,,,
9573X,-0.141596,2026-04-13T03:00:00+0000,0.0,334.0,11.1,3.9,278.0,41.058038,270.0,ALCAÑIZ,76.0,6.6,6.8,7.0,,0.9,,,2.9,,18.0,,,,,,,,,,,,,,,,,
9574B,-0.068611,2026-04-13T03:00:00+0000,0.0,215.0,12.4,9.2,283.0,41.2425,282.0,CASPE  PLANA DEL PILÓN,74.0,7.1,7.7,7.8,984.7,1.2,6.9,1010.7,3.4,20.0,7.0,0.0,13.3,,,,,,0.0,,,,,,,,,
9585,1.939446,2026-04-13T03:00:00+0000,0.0,1699.12,3.6,1.7,251.0,42.332502,259.0,LA MOLINA,87.0,-1.9,-1.9,-1.8,820.7,0.5,3.7,,,20.0,14.0,0.0,6.5,,,,3.4,267.0,0.0,1.7,0.3,13.0,278.0,6.9,,,,
9590,1.693256,2026-04-13T03:00:00+0000,0.0,1038.0,2.9,0.6,233.0,42.362116,17.0,MARTINET,94.0,1.3,1.3,1.7,,,,,,,,,,,,,,,,,,,,,,,,
9590D,1.6675,2026-04-13T03:00:00+0000,,1940.0,0.0,0.0,0.0,42.430278,0.0,CAP DE REC,100.0,-3.5,-3.5,-2.3,794.5,0.0,,,-3.6,,0.0,,,,,,,,,,,,,,,,0.0,
9632X,1.569443,2026-04-13T03:00:00+0000,0.0,1196.0,6.3,2.2,15.0,42.230275,20.0,TUIXENT,84.0,3.2,3.2,3.4,,,,,,,,,,,,,,,,,,,,,,,,
9638D,1.311946,2026-04-13T03:00:00+0000,0.0,609.0,12.9,7.7,16.0,42.154449,10.0,COLL DE NARGÓ,77.0,5.8,6.2,6.2,,,,,,,,,,,,,,,,,,,,,,,,
9647X,1.395552,2026-04-13T03:00:00+0000,0.0,435.0,,,,41.805836,,TORÀ,97.0,5.1,5.1,5.6,,,,,,,,,,,,,,,,,,,,,,,,
9650X,1.108615,2026-04-13T03:00:00+0000,0.0,400.0,,,,41.881389,,ARTESA DE SEGRE,87.0,5.5,5.5,5.7,,,,,,,,,,,,,,,,,,,,,,,,
9657X,1.126203,2026-04-13T03:00:00+0000,0.0,952.0,10.7,3.9,336.0,42.62511,322.0,ESTERRI D?ANEU,48.0,4.5,4.7,4.7,,,,,,,,,,,,,,,,,,,,,,,,
9677,1.214647,2026-04-13T03:00:00+0000,,2410.0,6.5,5.2,301.0,42.410009,304.0,PORT AINE  L?ORRI,96.0,-8.4,-8.4,-8.0,748.7,0.4,,,-9.0,,5.0,,,,,,,,,,,,,,,,55.9,
9689X,0.990837,2026-04-13T03:00:00+0000,0.0,1273.0,,,,42.466384,,CABDELLA-CENTRAL,61.0,2.6,4.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,
9698U,0.864722,2026-04-13T03:00:00+0000,0.0,807.0,5.2,2.5,27.0,42.204722,31.0,TALARN,67.0,5.9,6.2,6.5,914.5,,6.2,,0.4,20.0,,0.0,11.8,0.0,0.0,,,,,,,,,,713.3,,,
9707,0.907217,2026-04-13T03:00:00+0000,0.0,515.0,2.8,1.0,349.0,42.066942,92.0,LLIMIANA,80.0,7.3,7.3,7.3,,,,,,,,,,,,,,,,,,,,,,,,
9718X,1.223051,2026-04-13T03:00:00+0000,0.0,463.0,7.4,4.4,258.0,41.681109,247.0,TORDERA - GRANYANELLA,97.0,4.8,4.8,5.1,,,,,,,,,,,,,,,,,,,,,,,,
9724X,0.756111,2026-04-13T03:00:00+0000,0.2,520.0,2.5,1.0,217.0,41.873334,227.0,OS DE BALAGUER,100.0,5.1,5.2,5.2,,,,,,,,,,,,,,,,,,,,,,,,
9726E,1.309439,2026-04-13T03:00:00+0000,0.2,657.0,9.7,5.8,302.0,41.557221,290.0,LLORAC,100.0,3.6,3.6,3.9,,,,,,,,,,,,,,,,,,,,,,,,
9729X,0.866659,2026-04-13T03:00:00+0000,0.2,252.0,6.2,2.0,245.0,41.616943,257.0,MOLLERUSSA,94.0,6.1,6.1,6.4,,,,,,,,,,,,,,,,,,,,,,,,
9744B,0.798893,2026-04-13T03:00:00+0000,0.0,1089.0,14.5,5.4,46.0,42.503332,67.0,BARRUERA,39.0,5.0,5.1,5.2,,,,,,,,,,,,,,,,,,,,,,,,
9751,0.746943,2026-04-13T03:00:00+0000,0.0,760.0,8.5,3.4,315.0,42.318612,327.0,SOPEIRA,42.0,8.1,8.5,8.5,,,,,,,,,,,,,,,,,,,,,,,,
9756X,0.479998,2026-04-13T03:00:00+0000,0.0,765.0,2.8,1.2,316.0,42.112498,305.0,BENABARRE,97.0,6.9,6.9,7.1,,,,,,,,,,,,,,,,,,,,,,,,
9771C,0.598058,2026-04-13T03:00:00+0000,0.2,185.83,5.6,3.0,231.0,41.626108,245.0,LLEIDA,95.0,6.0,6.0,6.9,985.1,1.0,8.0,1009.7,5.3,4.0,18.0,0.0,13.0,,,,,,0.2,,,,,17.2,,,,
9772X,0.913608,2026-04-13T03:00:00+0000,0.2,673.0,,,,41.366114,,LA POBLA DE CERVOLES,94.0,3.2,3.2,3.6,,,,,,,,,,,,,,,,,,,,,,,,
9775X,0.67833,2026-04-13T03:00:00+0000,1.6,392.0,,,,41.413609,,EL SOLERÀS,94.0,4.5,4.5,4.7,,,,,,,,,,,,,,,,,,,,,,,,
9784P,0.224707,2026-04-13T03:00:00+0000,0.0,992.0,12.1,5.7,306.0,42.629967,315.0,BIELSA,46.0,5.2,5.5,5.5,896.7,1.7,5.5,,-5.1,20.0,12.0,0.0,10.2,,,,,,0.0,,,,,,737.4,,,
9808X,0.138052,2026-04-13T03:00:00+0000,0.0,610.0,2.8,1.4,143.0,42.421667,165.0,AÍNSA-SOBRARBE  LA SERRETA-DEPÓSITO,93.0,7.1,7.1,7.5,,,,,,,,,,,,,,,,,,,,,,,,
9812M,-0.099133,2026-04-13T03:00:00+0000,,1206.0,14.6,5.6,275.0,42.655344,291.0,PARADOR ORDESA-PARQUE NACIONAL ORDESA Y MONTEPERDIDO,42.0,4.0,4.2,4.4,871.3,2.7,,1008.5,-7.5,,38.0,,,,,,,,,,,,,,,,,
9814I,-0.124444,2026-04-13T03:00:00+0000,0.0,1905.0,15.3,4.8,20.0,42.656111,19.0,TORLA-ORDESA  EL CEBOLLAR,73.0,-2.8,-2.8,-2.7,797.8,1.9,,,,,44.0,,,,,,,,,,,,,,,,0.8,
9814X,-0.111944,2026-04-13T03:00:00+0000,0.0,1076.0,20.1,10.0,318.0,42.637589,5.0,TORLA-ORDESA  DEPÓSITO,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9839V,0.543056,2026-04-13T03:00:00+0000,0.0,2374.4,19.0,14.4,8.0,42.555,17.0,CERLER  COGULLA,84.0,-5.8,-5.6,-5.6,751.7,1.6,,,-7.8,,6.0,,,,,,,,,,,,,,,,5.1,
9843A,0.434167,2026-04-13T03:00:00+0000,0.0,825.0,9.3,1.5,243.0,42.476948,222.0,SEIRA,59.0,5.9,7.1,7.1,,,,,,,,,,,,,,,,,,,,,,,,
9855E,0.466105,2026-04-13T03:00:00+0000,0.0,600.0,2.4,1.1,197.0,42.201391,247.0,CAPELLA  LAGUARRES,90.0,8.0,8.0,8.3,,,,,,,,,,,,,,,,,,,,,,,,
9866C,0.140556,2026-04-13T03:00:00+0000,0.0,305.0,2.6,0.7,183.0,42.02139,212.0,BARBASTRO,87.0,7.8,7.8,8.3,,,,,,,,,,,,,,,,,,,,,,,,
9894Y,-0.160778,2026-04-13T03:00:00+0000,0.0,300.0,8.2,4.6,274.0,41.799297,277.0,SARIÑENA  DEPÓSITO,74.0,6.4,6.4,6.6,,,,,,,,,,,,,,,,,,,,,,,,
9898,-0.325555,2026-04-13T03:00:00+0000,0.0,546.0,4.0,1.6,276.0,42.084556,240.0,HUESCA  AEROPUERTO,82.0,3.0,3.0,3.5,943.7,0.7,2.9,1010.4,0.2,,47.0,0.0,12.6,,,,,,0.0,,,,,14.8,,,,
9901X,-0.394996,2026-04-13T03:00:00+0000,0.0,463.0,,,,42.138891,,HUESCA,70.0,5.2,5.2,5.5,,,,,,,,,,,,,,,,,,,,,,,,
9908X,-0.333059,2026-04-13T03:00:00+0000,0.0,380.0,11.7,8.6,306.0,41.77389,307.0,LANAJA  DEPÓSITO,71.0,5.8,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
9911X,0.187782,2026-04-13T03:00:00+0000,0.0,178.0,10.3,5.2,296.0,41.619446,295.0,BALLOBAR  DEPÓSITO,68.0,7.7,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,
9918Y,0.376949,2026-04-13T03:00:00+0000,0.4,218.0,2.7,1.4,208.0,41.780835,230.0,TAMARITE DE LITERA  LA MELUSA,96.0,6.9,6.9,7.1,,,,,,,,,,,,,,,,,,,,,,,,
9924X,0.355555,2026-04-13T03:00:00+0000,0.0,170.0,4.4,1.5,202.0,41.524719,210.0,FRAGA,79.0,7.3,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
9935X,0.146389,2026-04-13T03:00:00+0000,0.0,483.0,10.5,5.2,274.0,40.873335,265.0,VALDERROBRES ,77.0,6.2,6.4,6.4,,,,,,,,,,,,,,,,,,,,,,,,
9946X,0.311668,2026-04-13T03:00:00+0000,0.0,495.0,,,,40.953057,,HORTA DE SANT JOAN,81.0,5.2,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
9947X,0.353329,2026-04-13T03:00:00+0000,0.0,370.0,9.6,5.6,266.0,41.177218,252.0,MASSALUCA,80.0,5.8,6.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,
9961X,0.735283,2026-04-13T03:00:00+0000,1.6,363.0,,,109.0,41.249443,,CABACÉS,87.0,5.5,5.5,5.6,,,,,,,,,,,,,,,,,,,,,,,,
9975X,0.613616,2026-04-13T03:00:00+0000,0.0,112.0,8.8,3.4,310.0,41.005001,307.0,RASQUERA,66.0,8.6,8.7,8.7,,,,,,,,,,,,,,,,,,,,,,,,
9981A,0.493333,2026-04-13T03:00:00+0000,0.0,49.92,13.5,6.0,326.0,40.820278,333.0,TORTOSA,56.0,10.1,10.4,10.4,1003.0,2.4,11.7,1008.1,2.1,20.0,31.0,0.0,16.9,,,,,,0.0,,,,,17.5,,,,
9988B,0.973793,2026-04-13T03:00:00+0000,,2467.0,2.8,2.0,306.0,42.691958,285.0,CAP DE VAQUEIRA,91.0,-11.2,-10.4,-10.4,747.6,0.3,,,,,7.0,,,,,,,,,,,,,,,,,
9990X,0.876944,2026-04-13T03:00:00+0000,0.0,1161.0,1.4,0.1,196.0,42.700278,137.0,ARTIES,90.0,-0.4,-0.3,-0.1,,,,,-1.7,,,,,,,8.0,,,,,,,,,,,,
9994X,0.689719,2026-04-13T03:00:00+0000,0.0,722.0,2.6,1.6,241.0,42.776109,225.0,BOSSOST-CENTRAL,96.0,2.2,2.2,2.3,,,,,,,,,,,,,,,,,,,,,,,,
9995Y,-1.300831,2026-04-13T03:00:00+0000,0.8,334.0,0.9,0.2,16.0,43.091114,7.0,VALCARLOS/LUZAIDE,100.0,4.7,4.8,4.8,,,,,,,,,,,,,,,,,,,,,,,,
9998X,-1.494444,2026-04-13T03:00:00+0000,0.0,1006.0,8.4,5.0,320.0,40.921392,320.0,BELLO,86.0,1.7,1.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,
B013X,2.885828,2026-04-13T03:00:00+0000,1.5,490.0,6.3,1.1,86.0,39.823337,47.0,LLUC,99.0,8.4,8.5,8.8,,,,,8.4,,,,,,,64.0,,,,,,,,,,,,
